Immediately Invoked Function Expression）；IIFE;
correctly	adv.正确地，得体地.实事求是.;
desirable	adj.令人满意的.值得拥有的.可取的.性感的.;n.称心如意的人[东西].;
anonymous	adj.无名的.假名的.匿名的.没有特色的.;
detraction	n.诽谤.;
natural	adj.自然的.物质的.天生的.不做作的.;n.自然的事情.（生来的）白痴.[乐]（风琴等的）白键.;
seem	v.好像，仿佛.似乎.装作.看来好像.;
knee	n.膝.膝盖.;vt.用膝盖碰.;
off	adj.远的,空闲的,不工作的adv.离开,在远方,离去,分离,中断,完成 prep.从...离开,脱离
cut	vt.& vi.将（某物）切开（或分割）.;vt.削减.剪切.切成.删剪.;vi.电影.（为决定谁先出牌等）切牌.可被切割.可用于切割.;n.切口.削减.剪裁.切片.;
verbosity	n.冗长，赘言.;
trouble	n.烦恼,麻烦,动乱,纠纷,疾病,故障,问题vt.(使)烦恼,麻烦,打扰,麻烦自己,费神,费心
conflate	vt.合并，混合.;
confuse	vt.使困窘.使混乱.使困惑.使更难于理解.;vi.使糊涂.;
codify	vt.把（法律）编成法典.编成法典.;
shown	 vbl.show的过去分词
correct	adj.正确的.合适的.符合公认准则的.得体的.;v.改正.批改.指出错误.;
inherit	vt.& vi.继承.;vt.经遗传获得（品质、身体特征等），继任.;
unpredictable	adj.无法预言的.不可预测的.;n.不可预测的事.;
unbound	adj.无束缚的.<正>不负有义务的.;v.解开，解放( unbind的过去式和过去分词 ).;
whatever	 pron.凡是...,无论什么adj.无论怎样的,无论哪一种的,什么也
discard	vt.丢弃，抛弃.解雇.出牌.;n.被抛弃的人[物].丢弃，抛弃.打出的牌.打出的牌.;vi.出无用的牌.垫牌.;
count	v.数,计算,计算在内,认为,有价值n.计数,计算,注意,伯爵
sol	n.[音]大音阶的第五音,[化]溶胶
repeated	adj.反复的，再三的，重复的.累.频仍.;
binding	n.捆绑.（衣服等的）镶边.粘合剂.书籍的封面.;adj.捆绑的.粘合的.（书面材料）有约束力的.应履行的.;v.约束( bind的现在分词).装订.捆绑.（用长布条）缠绕.;
loss	n.损失,遗失,失败,输,浪费,错过,[军]伤亡,降低
id	n.遗传素质,本能冲动n.身份证,标识符 [域] Indonesia ,印度尼西亚  身分,身份 ID(identification,identity)
suffer	vi.受痛苦.受损害.变糟.变差.;vt.忍受.容忍.容许.遭受.;
briefly	adv.短暂地.简单地.简略地.略略.;
dec	abbr.decrease 减少.decorate 装饰.decoration 装饰.decorative 装饰的.;
keystroke	n.[计]键击,按键
saving	n.存款,挽救,救助,节约adj.搭救的,挽救的,节约的,节俭的,保留的,补偿的 prep.除...之外,考虑到
sarcasm	n.讥讽.讽刺话.;
verbose	adj.冗长的，啰唆的，累赘的.;adv.冗长地，啰唆地，累赘地.;
tediously	adv.沉闷地，长而乏味地.;
arrow	n.矢，箭.箭状物.箭头记号.[天]天箭座.;
fat	n.脂肪,肥肉;adj.肥大的,丰满的,肥的,胖的,油腻的;vt.养肥,在...中加入脂肪;vi.长肥;File Allocation Table,文件分配表
chang	n.青稞酒(亦作chong)
overwrite	v.写在...上面,写得过多n.推销佣金
usage	n.使用.用法.习惯.惯例.;
collision	n.碰撞.冲突.（意见，看法）的抵触.（政党等的）倾轧.;
end	n.<正>结果.端.终止.最后部分.;vt.& vi.结束，终止.;
controlled	adj.受约束的，克制的.;v.控制( control的过去式和过去分词 ).管理.限制.克制.;
influence	n.影响,感化,势力,有影响的人(或事),(电磁)感应vt.影响,改变
proper	adj.适当的，相当的，正当的，应该的，正式的，正常的.固有的，特有的，独特的.本来的，真正的，严格意义上的.〈古〉漂亮的，优美的.;adv.〈方〉适当地，好好地，非常，很，完完全全地，彻底地.;n.[宗教][常用P-]特定节日等用的仪式，弥撒（祈祷、礼仪等）书的章节，特赞.;
precondition	n.前提.先决条件.;vt.预先处理.事先准备.;
intentionally	adv.有意地，故意地.;
dangerous	adj.危险的.;
unnecessary	adj.不必要的，多余的.无用的，无益的.无须.;
discourage	vt.使气馁.使沮丧.阻碍.劝阻.;
private	adj.私有的，私人的.秘密的.内心的.平民的，无官职的，士兵的.;n.列兵，士兵，[陆]二等兵.〈古〉私人，个人.阴部，生殖器.;
violate	vt.违犯,亵渎(圣物),冒犯,干扰,违反,妨碍,侵犯,强暴
choice	n.选择,抉择,精选品,选择机会,选择权adj.精选的,上等的,挑三拣四的,可选的,宠爱的,爱惜的
extend	vt.& vi.延伸.扩大.推广.;vt.伸展.给予.延长.发出（邀请、欢迎等）.;vi.伸出.延伸.增加.;
everything	pron.每件事物.最重要的东西.（有关的）一切.万事.;
minimally	adv.最低限度地，最低程度地.;
expose	vt.揭露，揭发.使暴露.使遭受.使曝光.;
api	abbr.acceptable periodic inspection 合意周期检查.armor-piercing incendiary tracer 追踪式穿甲燃烧弹.;
authority	n.权威,威信,权威人士,权力,职权,典据,著作权威
sometimes	adv.有时，间或.时而.;
privilege	n.特权,特别待遇,基本公民权力,特免vt.给与...特权,特免
least	adj.最小的.最少的（ little的最高级）.最不重要的，地位最低的.;adv.最少，最小.;n.最小.最少量.;
principle	n.原则，原理.准则，道义.道德标准.本能.;
arise	vi.& vt.产生.出现.起身，起立.起源于，产生于.;
motivate	v.激发
reason	n.理由,原因,动机,理智,前提vt.说服,推论,辩论vi.推论,劝说,思考
variety	n.多样.种类.杂耍.变化，多样化.;
tied	v.（用线、绳等）系( tie的过去式和过去分词 ).;
